Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine
Nissan Juke,"£13,995",2020,"39,972 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Hyundai Tucson,"£13,343",2020,"38,815 miles",Manual,Diesel,5 seats,1 owner(s),5 doors,1.6
Kia Rio,"£12,650",2019,"17,845 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Dacia Sandero Stepway,"£8,788",2019,"21,452 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,0.9
Audi Q2,"£22,750",2019,"22,566 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,2
Toyota Yaris,"£15,490",2020,"11,195 miles",Automatic,Hybrid,5 seats,3 owner(s),5 doors,1.5
Hyundai i20,"£17,429",2023,"3,462 miles",Manual,Hybrid,5 seats,1 owner(s),5 doors,1
Dacia Sandero,"£7,595",2019,"27,332 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,0.9
Toyota Prius,"£18,490",2017,"57,314 miles",Automatic,Hybrid,4 seats,1 owner(s),5 doors,1.8
Toyota Corolla,"£24,319",2023,"7,225 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.8
Suzuki Swift,"£10,126",2020,"15,321 miles",Manual,Hybrid,5 seats,1 owner(s),5 doors,1.2
Hyundai Tucson,"£14,156",2020,"39,495 miles",Manual,Diesel,5 seats,1 owner(s),5 doors,1.6
Dacia Duster,"£13,179",2018,"15,765 miles",Manual,Diesel,5 seats,1 owner(s),5 doors,1.5
Citroen C3,"£14,300",2021,"10,977 miles",Semi-automatic,Petrol,5 seats,1 owner(s),5 doors,1.2
Volkswagen Touareg,"£59,995",2023,"1,727 miles",Semi-automatic,Diesel,5 seats,281.6 bhp,5 doors,3
Dacia Sandero Stepway,"£11,500",2021,"12,087 miles",Manual,Petrol,5 seats,89.8 bhp,5 doors,1
